id,smiles,expt
molid59,CCNc1nc(nc(n1)Cl)NCC,-10.22
molid60,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
molid61,CCCCCCCCN,-3.65
molid62,N,-4.29
molid63,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
molid64,COC(=O)c1ccc(cc1)O,-9.51
molid65,CCCCCc1ccccc1,-0.23
molid66,CC(F)F,-0.11
molid67,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
molid68,C=CC=C,0.56
molid69,CN(C)C,-3.2
molid70,CCCCCC(=O)N,-9.31
molid71,CC(C)CO[N+](=O)[O-],-1.88
molid72,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
molid73,C(CO[N+](=O)[O-])O,-8.18
molid74,CCCCCCC(=O)C,-2.88
molid75,CN1CCNCC1,-7.77
molid76,CCN,-4.5
molid77,C1C=CC=CC=C1,-0.99
molid78,c1ccc2c(c1)Cc3ccccc3C2,-3.78
molid79,CC(Cl)Cl,-0.84
molid80,COc1cccc(c1)O,-7.66
molid81,c1cc2cccc3c2c(c1)CC3,-3.15
molid82,CCCCCCCCBr,0.52
molid83,c1ccc(cc1)CO,-6.62
molid84,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
molid85,CCCC,2.1
molid86,CCl,-0.55
molid87,CC(C)CBr,-0.03
molid88,CC(C)SC(C)C,-1.21
molid89,CCCCCCC,2.67
molid90,c1cnc[nH]1,-9.63
molid91,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
molid92,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
molid93,C(I)I,-2.49
molid94,CCCN(CCC)C(=O)SCCC,-4.13
molid95,C[N+](=O)[O-],-4.02
molid96,CCOC,-2.1
molid97,COC(CCl)(OC)OC,-4.59
molid98,CC(C)C,2.3
molid99,CC(C)CC(=O)O,-6.09
molid100,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
molid101,CCCCl,-0.33
molid102,CCCSCCC,-1.28
molid103,CCC[C@H](CC)O,-4.06
molid104,CC#N,-3.88
molid105,CN(CC(F)(F)F)c1ccccc1,-1.92
molid106,[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
molid107,C=CCCC=C,1.01
molid108,Cc1cccc(c1)C,-0.83
molid109,CC(=O)OC,-3.13
molid110,COC(c1ccccc1)(OC)OC,-4.04
molid111,CCOC(=O)c1ccccc1,-3.64
molid112,CCCS,-1.1
molid113,CCCCCC(=O)C,-3.04
molid114,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
molid115,c1ccc(cc1)CBr,-2.38
molid116,CCCCCC(=O)OCC,-2.23
molid117,CCCOC,-1.66
molid118,CN1CCOCC1,-6.32
molid119,c1cc(cc(c1)O)C#N,-9.65
molid120,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
molid121,CCCc1ccccc1,-0.53
molid122,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
molid123,CNC,-4.29
molid124,C(=C(F)F)(C(F)(F)F)F,2.93
molid125,c1cc(ccc1O)Cl,-7.03
molid126,C1CCNCC1,-5.11
molid127,c1ccc2c(c1)ccc3c2cccc3,-3.88
molid128,CI,-0.89
molid129,COc1c(cc(c(c1O)OC)Cl)Cl,-6.44
molid130,C(=C/Cl)\Cl,-0.78
molid131,CCCCC,2.3
molid132,CCCC#N,-3.64
molid133,[C@@H](C(F)(F)F)(F)Br,0.5
molid134,CC(C)Cc1cnccn1,-5.04
molid135,CC[C@H](C)O[N+](=O)[O-],-1.82
molid136,c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
molid137,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
molid138,CC[C@@H](C)C(C)C,2.52
molid139,C[C@H](CC(C)C)O,-3.73
molid140,C1CCOCC1,-3.12
molid141,C1CC1,0.75
molid142,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
molid143,C=C(Cl)Cl,0.25
molid144,CC(C)CO,-4.5
molid145,CCCOC(=O)CC,-2.44
molid146,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
molid147,CSc1ccccc1,-2.73
molid148,CCc1ccccc1O,-5.66
molid149,CC(C)(C)Cl,1.09
molid150,CC(=C)C=C,0.68
molid151,Cc1ccc(cc1)C(C)C,-0.68
molid152,Cn1ccnc1,-8.41
molid153,C(CO)O,-9.3
molid154,c1ccc(c(c1)Cl)Cl,-1.36
molid155,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
molid156,CCCOC=O,-2.48
molid157,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
molid158,CCCCCC(=O)O,-6.21
molid159,CCOC(=O)CCC(=O)OCC,-5.71
molid160,Cc1ccnc(c1)C,-4.86
molid161,C1CCC=CC1,0.14
molid162,CN1CCN(CC1)C,-7.58
molid163,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
molid164,C1=CC(=O)C=CC1=O,-6.5
molid165,COC(=O)CCl,-4.0
molid166,CCCC=O,-3.18
molid167,CCc1ccccc1,-0.79
molid168,C(=C(Cl)Cl)Cl,-0.44
molid169,CCN(CC)CC,-3.22
molid170,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
molid171,Cc1ccncc1C,-5.22
molid172,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
molid173,c1ccc(cc1)C=O,-4.02
molid174,c1ccnc(c1)Cl,-4.39
molid175,C=CCCl,-0.57
molid176,Cc1ccc(cc1)C(=O)C,-4.7
molid177,C=O,-2.75
molid178,Cc1ccccc1Cl,-1.14
molid179,CC(=O)N1CCCC1,-9.8
molid180,CC(OC)(OC)OC,-4.42
molid181,CCCCc1ccccc1,-0.4
molid182,CN(C)c1ccccc1,-3.45
molid183,CC(C)OC,-2.01
molid184,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
molid185,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
molid186,C(C(Cl)Cl)Cl,-1.99
molid187,CNc1ccccc1,-4.69
molid188,CC(C)OC(=O)C,-2.64
molid189,c1ccccc1,-0.9
molid190,c1cc(c(c(c1)Cl)Cl)Cl,-1.24
molid191,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
molid192,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
molid193,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
molid194,CC(=C)C(=C)C,0.4
molid195,CCCCC=C,1.58
molid196,S,-0.7
molid197,CCOCC,-1.59
molid198,CCNc1nc(nc(n1)SC)NC(C)C,-7.65
molid199,CCCCOC(=O)c1ccc(cc1)O,-8.72
molid200,CCCCCCOC(=O)C,-2.26
molid201,C1CCC(=O)C1,-4.7
molid202,CCCCC(=O)O,-6.16
molid203,CCBr,-0.74
molid204,Cc1ccc2cc(ccc2c1)C,-2.63
molid205,CCCCCCO,-4.4
molid206,c1ccc(cc1)c2ccccc2Cl,-2.69
molid207,CC1=CCCCC1,0.67
molid208,CCCCCCO[N+](=O)[O-],-1.66
molid209,C(Br)(Br)Br,-2.13
molid210,CCc1ccc(cc1)O,-6.13
molid211,CCCOCCO,-6.4
molid212,c1ccc(cc1)OC=O,-3.82
molid213,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
molid214,CCCC(=O)O,-6.35
molid215,COC(C(F)(F)F)(OC)OC,-0.8
molid216,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
molid217,C(F)(F)(F)Br,1.79
molid218,CCCCO,-4.72
molid219,c1ccc(cc1)F,-0.8
molid220,CCOC(=O)C,-2.94
molid221,CC(C)COC(=O)C(C)C,-1.69
molid222,CC(C)(C)OC,-2.21
molid223,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
molid224,CCC(=O)CC,-3.41
molid225,COC(=O)C(F)(F)F,-1.1
molid226,c1ccc2ccccc2c1,-2.4
molid227,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
molid228,CC(=O)Oc1ccccc1C(=O)O,-9.94
molid229,CC(=O)C(C)(C)C,-3.11
molid230,COS(=O)(=O)C,-4.87
molid231,CCc1ccncc1,-4.73
molid232,CC(C)NC(C)C,-3.22
molid233,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
molid234,CCCCCCCN,-3.79
molid235,CC1CCCC1,1.59
molid236,CCC,2.0
molid237,C[C@H]1CCCO1,-3.3
molid238,CNC(=O)Oc1cccc2c1cccc2,-9.45
molid239,c1cc(cc(c1)O)C=O,-9.52
molid240,c1ccc2cc3ccccc3cc2c1,-3.95
molid241,C(Cl)Cl,-1.31
molid242,CC(C)(C)C(=O)OC,-2.4
molid243,C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
molid244,C1CC[S+2](C1)([O-])[O-],-8.61
molid245,Cc1cccc(c1O)C,-5.26
molid246,Cc1cccc(c1)O,-5.49
molid247,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
molid248,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
molid249,CCCCCCCC(=O)C,-2.49
molid250,CCCCN,-4.24
molid251,CCCC(=O)OCC,-2.49
molid252,Cc1ccc(cc1)N,-5.57
molid253,CCCCCCI,0.08
molid254,C(C(F)(Cl)Cl)(F)(F)Cl,1.77
molid255,COP(=O)(OC)OC,-8.7
molid256,c1cc(cc(c1)Cl)Cl,-0.98
molid257,Cc1cc(c2ccccc2c1)C,-2.47
molid258,CCCC(C)C,2.51
molid259,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
molid260,C(C(F)(F)F)Cl,0.06
molid261,C=C,1.28
molid262,CCCCCI,-0.14
molid263,COC(OC)OC,-4.42
molid264,CCCCCCCCCC,3.16
molid265,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
molid266,CC=C,1.32
molid267,Cc1c[nH]c2c1cccc2,-5.88
molid268,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
molid269,C1CCCCC1,1.23
molid270,CC(=CCC/C(=C/CO)/C)C,-4.45
molid271,CC(C)c1ccccc1,-0.3
molid272,CC(C)C(C)C(C)C,2.56
molid273,CC(C)C(=O)C,-3.24
molid274,CCCCNCCCC,-3.24
molid275,CCCCS,-0.99
molid276,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
molid277,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
molid278,C1CCC(CC1)N,-4.59
molid279,C(F)(F)Cl,-0.5
molid280,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
molid281,CC(=O)c1cccnc1,-8.26
molid282,CC#C,-0.48
molid283,CCCCCCCCC=O,-2.07
molid284,CCC(=O)O,-6.46
molid285,C(Cl)(Cl)Cl,-1.08
molid286,Cc1cccc(c1C)C,-1.21
molid287,C,2.0
molid288,c1ccc(cc1)CCl,-1.93
molid289,CC1CCCCC1,1.7
molid290,Cc1cccs1,-1.38
molid291,c1ccncc1,-4.69
molid292,CCCCCl,-0.16
molid293,C[C@H]1CC[C@@H](O1)C,-2.92
molid294,Cc1ccc(c(c1)OC)O,-5.8
molid295,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
molid296,Cc1ccccc1,-0.9
molid297,CC(C)COC=O,-2.22
molid298,CCOC(=O)c1ccc(cc1)O,-9.2
molid299,CCOCCOCC,-3.54
molid300,CCCCCOC(=O)CC,-2.11
molid301,CCCc1ccc(cc1)O,-5.21
molid302,CC=C(C)C,1.31
molid303,C(CCl)Cl,-1.79
molid304,CCC(C)(C)CC,2.56
molid305,Cc1cc2ccccc2cc1C,-2.78
molid306,Cc1cccc(n1)C,-4.59
molid307,COC(C(Cl)Cl)(F)F,-1.12
molid308,CCOCCOC(=O)C,-5.31
molid309,COc1cccc(c1)N,-7.29
molid310,c1cc(cnc1)C=O,-7.1
molid311,CCC(C)(C)O,-4.43
molid312,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
molid313,Cn1cccc1,-2.89
molid314,COCOC,-2.93
molid315,CCC(CC)O,-4.35
molid316,CCCCCCCCCC(=O)C,-2.15
molid317,C(CBr)Cl,-1.95
molid318,c1ccc(cc1)I,-1.74
molid319,CC1=CC(=O)CC(C1)(C)C,-5.18
molid320,CCI,-0.74
molid321,CCCc1ccc(c(c1)OC)O,-5.26
molid322,CC(C)Br,-0.48
molid323,Cc1ccc(cc1)Br,-1.39
molid324,c1cc(ccc1C#N)O,-10.17
molid325,CS(=O)(=O)C,-10.08
molid326,CCc1cccc(c1)O,-6.25
molid327,CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
molid328,c1cc(ccc1Br)Br,-2.3
molid329,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
molid330,CC/C=C\C,1.31
molid331,CC,1.83
molid332,COc1ccccc1OC,-5.33
molid333,CCSCC,-1.46
molid334,c1cc(cnc1)C#N,-6.75
molid335,c1cc(c(cc1O)Cl)Cl,-7.29
molid336,COc1ccccc1,-2.45
molid337,Cc1ccc(c(c1)O)C,-5.91
molid338,c1cc(ccc1Cl)Cl,-1.01
molid339,C(F)Cl,-0.77
molid340,CCCC=C,1.68
molid341,c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
molid342,CCCCCC#C,0.6
molid343,CCCCCCCCC(=O)C,-2.34
molid344,c1ccc(cc1)Cl,-1.12
molid345,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
molid346,CCCCC=O,-3.03
molid347,c1ccc(cc1)Oc2ccccc2,-2.87
molid348,C1CCC(=O)CC1,-4.91
molid349,CCCC[N+](=O)[O-],-3.09
molid350,c1cnccc1C=O,-7.0
molid351,C(CCl)OCCCl,-4.23
molid352,CC[N+](=O)[O-],-3.71
molid353,c1cc(cnc1)Cl,-4.01
molid354,CBr,-0.82
molid355,CO,-5.1
molid356,CCCCCCC=O,-2.67
molid357,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28
molid358,c1ccc(c(c1)N)[N+](=O)[O-],-7.37
molid359,CN1CCCCC1,-3.88
molid360,CCCCCCCC=O,-2.29
molid361,c1ccc(cc1)[N+](=O)[O-],-4.12
molid362,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
molid363,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
molid364,CF,-0.22
molid365,CS(=O)C,-9.28
molid366,c1ccc2c(c1)Oc3ccccc3O2,-3.15
molid367,Cc1ccccc1N,-5.53
molid368,CCCCBr,-0.4
molid369,CCCCCCCCCO,-3.88
molid370,Cc1ccncc1,-4.93
molid371,C(=C(Cl)Cl)(Cl)Cl,0.1
molid372,CC(C)(C)Br,0.84
molid373,C=C(c1ccccc1)c2ccccc2,-2.78
molid374,CCc1ccc(cc1)C,-0.95
molid375,Cc1cccnc1,-4.77
molid376,COCC(OC)(OC)OC,-5.73
molid377,c1ccc-2c(c1)Cc3c2cccc3,-3.35
molid378,CC(=O)N,-9.71
molid379,COS(=O)(=O)OC,-5.1
molid380,C(C(Cl)Cl)(Cl)Cl,-2.37
molid381,COC(=O)C1CCCCC1,-3.3
molid382,CCCCCCBr,0.18
molid383,CCCCCCCBr,0.34
molid384,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
molid385,COC(CC#N)(OC)OC,-6.4
molid386,CC[C@H](C)Cl,0.0
molid387,CCCCCCc1ccccc1,-0.04
molid388,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
molid389,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
molid390,c1ccc(cc1)Cn2ccnc2,-7.63
molid391,c1ccc2c(c1)cccc2N,-7.28
molid392,CCOC(=O)CC(=O)OCC,-6.0
molid393,CC(=O)C1CC1,-4.61
molid394,c1cc[nH]c1,-4.78
molid395,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
molid396,CC1CCC(CC1)C,2.11
molid397,C1CCC(CC1)O,-5.46
molid398,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
molid399,c1cc(ccc1O)F,-6.19
molid400,c1ccc(c(c1)N)Cl,-4.91
molid401,Cc1ccc(c(c1)C)C,-0.86
molid402,CCc1ccccc1C,-0.85
molid403,C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
molid404,c1ccc(cc1)c2ccccc2,-2.7
molid405,Cc1cccc(c1C)O,-6.16
molid406,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
molid407,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
molid408,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
molid409,CSC,-1.61
molid410,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78
molid411,C1CCC(C1)O,-5.49
molid412,CCCCC(=O)OC,-2.56
molid413,CCCC(=C)C,1.47
molid414,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
molid415,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
molid416,C=CCl,-0.59
molid417,Cc1ccc(cc1)C(=O)N(C)C,-9.76
molid418,CCCC(=O)CCC,-2.92
molid419,COC(=O)c1ccccc1,-3.92
molid420,Cc1ccc(cc1)C=O,-4.27
molid421,CCCC(=O)OCCC,-2.28
molid422,C1CNCCN1,-7.4
molid423,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
molid424,CCOCCO,-6.69
molid425,CCC(C)CC,2.51
molid426,Cc1cnccn1,-5.51
molid427,CCC[N+](=O)[O-],-3.34
molid428,Cc1cc(cc(c1)C)C,-0.9
molid429,c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
molid430,CCO,-5.0
molid431,Cc1ccc(c2c1cccc2)C,-2.82
molid432,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
molid433,c1cc(c(c(c1)Cl)C#N)Cl,-4.71
molid434,CCOC=O,-2.56
molid435,c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34
molid436,CCOC(OCC)Oc1ccccc1,-5.23
molid437,c1cc(cc(c1)O)[N+](=O)[O-],-9.62
molid438,CCCCCCCCO,-4.09
molid439,CCC=C,1.38
molid440,C(Cl)(Cl)(Cl)Cl,0.08
molid441,c1ccc(cc1)CCO,-6.79
molid442,CN(C)C(=O)Nc1ccccc1,-9.13
molid443,CSSC,-1.83
molid444,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
molid445,CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
molid446,COC,-1.91
molid447,CCCCCC,2.48
molid448,C(CBr)Br,-2.33
molid449,C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
molid450,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
molid451,Cc1cccc(c1N)C,-5.21
molid452,CCCOC(=O)C,-2.79
molid453,c1ccc2c(c1)cccn2,-5.72
molid454,CCS,-1.14
molid455,CCSSCC,-1.64
molid456,c1ccsc1,-1.4
molid457,CCc1cccc2c1cccc2,-2.4
molid458,CCCC(=O)C,-3.52
molid459,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61
molid460,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
molid461,CC(=O)O,-6.69
molid462,CC=O,-3.5
molid463,c1cc(cc(c1)[N+](=O)[O-])N,-8.84
molid464,CCCCC#C,0.29
molid465,COc1ccccc1N,-6.12
molid466,c1ccc(cc1)O,-6.6
molid467,CCC#N,-3.84
molid468,c1ccc2c(c1)cccc2O,-7.67
molid469,CCCCOC(=O)C,-2.64
molid470,CC(C)(/C=N\OC(=O)NC)SC,-9.84
molid471,Cc1ccccc1O,-5.9
molid472,CC(C)C=O,-2.86
molid473,CCC(=O)N,-9.4
molid474,CCCBr,-0.56
molid475,CC(C)Cl,-0.25
molid476,C(CCl)CCl,-1.89
molid477,c1cc(ccc1[N+](=O)[O-])O,-10.64
molid478,C[C@@H](CCl)Cl,-1.27
molid479,c1cc(ccc1N)Cl,-5.9
molid480,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
molid481,Cc1cccnc1C,-4.82
molid482,c1cnccc1C#N,-6.02
molid483,CCOP(=S)(OCC)SCSCC,-4.37
molid484,CC(=O)C1CCCCC1,-3.9
molid485,Cc1ccccc1C=O,-3.93
molid486,CC(=O)c1ccncc1,-7.62
molid487,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
molid488,CC(=O)C,-3.8
molid489,CC(=C)C,1.16
molid490,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
molid491,CCCCC[N+](=O)[O-],-2.82
molid492,CCC/C=C/C=O,-3.68
molid493,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95
molid494,C1CCOC1,-3.47
molid495,CCCCCCCC,2.88
molid496,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25
molid497,CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
molid498,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
molid499,CC(C)OC(C)C,-0.53
molid500,CCCCC(C)C,2.93
molid501,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
molid502,[C@@H](C(F)(F)F)(Cl)Br,-0.11
molid503,CCCCOCCCC,-0.83
molid504,CCCCCC1CCCC1,2.55
molid505,CC(C)CC(C)C,2.83
molid506,Cc1ccc(nc1)C,-4.72
molid507,C/C=C/C=O,-4.22
molid508,CCC[C@H](C)CC,2.71
molid509,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96
molid510,c1ccc(cc1)O[C@@H](C(F)F)F,-1.29
molid511,COCCOC,-4.84
molid512,CC[C@H](C)c1ccccc1,-0.45
molid513,c1ccc(cc1)CCCO,-6.92
molid514,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
molid515,COc1ccc(cc1)C(=O)OC,-5.33
molid516,CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
molid517,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
molid518,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
molid519,CC(C)CCOC(=O)C,-2.21
molid520,CCCCCCCl,0.0
molid521,CC(C)CC(=O)C,-3.05
molid522,CCCCCC=O,-2.81
molid523,c1cc(cc(c1)Cl)N,-5.82
molid524,C1COCCN1,-7.17
molid525,CCOC(C)OCC,-3.28
molid526,CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
molid527,CS,-1.2
molid528,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
molid529,CC(=O)c1ccc(cc1)OC,-4.4
molid530,C=CCO,-5.03
molid531,CCSC,-1.5
molid532,CCCCCOC(=O)C,-2.51
molid533,c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62
molid534,CC(=O)c1ccccc1,-4.58
molid535,CCCl,-0.63
molid536,CCCC1CCCC1,2.13
molid537,c1c(cc(cc1Cl)Cl)Cl,-0.78
molid538,CCCOC(=O)c1ccc(cc1)O,-9.37
molid539,c1cc(cc(c1)Cl)O,-6.62
molid540,CC(C)CCO,-4.42
molid541,CCCCCN,-4.09
molid542,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
molid543,CC(C)CCC(C)(C)C,2.93
molid544,CCCCOCCO,-6.25
molid545,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82
molid546,c1ccc(cc1)C(=O)N,-11.0
molid547,CC(C)[N+](=O)[O-],-3.13
molid548,C(C(CO)O)O,-13.43
molid549,CCCI,-0.53
