id,smiles,calc
molid58,Cc1ccccn1,-3.5010000000000003
molid59,CCNc1nc(nc(n1)Cl)NCC,-10.914000000000001
molid60,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.59
molid61,CCCCCCCCN,-2.589
molid62,N,-4.018
molid63,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,-1.4409999999999998
molid64,COC(=O)c1ccc(cc1)O,-9.785
molid65,CCCCCc1ccccc1,-0.094
molid66,CC(F)F,0.226
molid67,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.039
molid68,C=CC=C,1.955
molid69,CN(C)C,-2.636
molid70,CCCCCC(=O)N,-8.103
molid71,CC(C)CO[N+](=O)[O-],-1.835
molid72,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-13.599
molid73,C(CO[N+](=O)[O-])O,-6.676
molid74,CCCCCCC(=O)C,-2.758
molid75,CN1CCNCC1,-8.173
molid76,CCN,-3.156
molid77,C1C=CC=CC=C1,-0.098
molid78,c1ccc2c(c1)Cc3ccccc3C2,-4.303999999999999
molid79,CC(Cl)Cl,0.187
molid80,COc1cccc(c1)O,-6.968999999999999
molid81,c1cc2cccc3c2c(c1)CC3,-4.198
molid82,CCCCCCCCBr,1.3519999999999999
molid83,c1ccc(cc1)CO,-5.132999999999999
molid84,c1c(c(=O)[nH]c(=O)[nH]1)Br,-17.298
molid85,CCCC,2.588
molid86,CCl,0.764
molid87,CC(C)CBr,0.7559999999999999
molid88,CC(C)SC(C)C,0.14
molid89,CCCCCCC,2.925
molid90,c1cnc[nH]1,-7.972
molid91,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-2.66
molid92,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-14.495999999999999
molid93,C(I)I,-1.882
molid94,CCCN(CCC)C(=O)SCCC,-4.569
molid95,C[N+](=O)[O-],-2.075
molid96,CCOC,-0.71
molid97,COC(CCl)(OC)OC,-3.638
molid98,CC(C)C,2.535
molid99,CC(C)CC(=O)O,-8.844
molid100,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-9.029
molid101,CCCCl,0.973
molid102,CCCSCCC,0.64
molid103,CCC[C@H](CC)O,-2.585
molid104,CC#N,-2.7889999999999997
molid105,CN(CC(F)(F)F)c1ccccc1,-3.964
molid106,[C@@H](C(F)(F)F)(OC(F)F)Cl,-1.156
molid107,C=CCCC=C,2.487
molid108,Cc1cccc(c1)C,-0.6970000000000001
molid109,CC(=O)OC,-3.83
molid110,COC(c1ccccc1)(OC)OC,-5.559
molid111,CCOC(=O)c1ccccc1,-4.5969999999999995
molid112,CCCS,-0.182
molid113,CCCCCC(=O)C,-2.945
molid114,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-11.126
molid115,c1ccc(cc1)CBr,-1.8530000000000002
molid116,CCCCCC(=O)OCC,-2.929
molid117,CCCOC,-0.598
molid118,CN1CCOCC1,-5.774
molid119,c1cc(cc(c1)O)C#N,-7.739
molid120,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-0.705
molid121,CCCc1ccccc1,-0.511
molid122,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-17.621
molid123,CNC,-2.991
molid124,C(=C(F)F)(C(F)(F)F)F,2.305
molid125,c1cc(ccc1O)Cl,-5.372999999999999
molid126,C1CCNCC1,-3.873
molid127,c1ccc2c(c1)ccc3c2cccc3,-5.263999999999999
molid128,CI,-0.6409999999999999
molid129,COc1c(cc(c(c1O)OC)Cl)Cl,-5.98
molid130,C(=C/Cl)\Cl,1.024
molid131,CCCCC,2.673
molid132,CCCC#N,-2.287
molid133,[C@@H](C(F)(F)F)(F)Br,0.23399999999999999
molid134,CC(C)Cc1cnccn1,-5.495
molid135,CC[C@H](C)O[N+](=O)[O-],-1.864
molid136,c1ccc(cc1)c2cc(ccc2Cl)Cl,-1.903
molid137,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-1.31
molid138,CC[C@@H](C)C(C)C,2.625
molid139,C[C@H](CC(C)C)O,-2.907
molid140,C1CCOCC1,-1.8090000000000002
molid141,C1CC1,2.485
molid142,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-0.8220000000000001
molid143,C=C(Cl)Cl,1.1079999999999999
molid144,CC(C)CO,-3.13
molid145,CCCOC(=O)CC,-2.4530000000000003
molid146,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0.885
molid147,CSc1ccccc1,-1.325
molid148,CCc1ccccc1O,-4.768
molid149,CC(C)(C)Cl,0.826
molid150,CC(=C)C=C,1.824
molid151,Cc1ccc(cc1)C(C)C,-0.456
molid152,Cn1ccnc1,-6.282
molid153,C(CO)O,-7.266
molid154,c1ccc(c(c1)Cl)Cl,-0.5529999999999999
molid155,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.128
molid156,CCCOC=O,-3.699
molid157,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-4.053999999999999
molid158,CCCCCC(=O)O,-7.877999999999999
molid159,CCOC(=O)CCC(=O)OCC,-8.683
molid160,Cc1ccnc(c1)C,-3.282
molid161,C1CCC=CC1,1.175
molid162,CN1CCN(CC1)C,-7.874
molid163,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-1.083
molid164,C1=CC(=O)C=CC1=O,-6.96
molid165,COC(=O)CCl,-3.8160000000000003
molid166,CCCC=O,-3.0439999999999996
molid167,CCc1ccccc1,-0.606
molid168,C(=C(Cl)Cl)Cl,0.818
molid169,CCN(CC)CC,-1.955
molid170,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-2.31
molid171,Cc1ccncc1C,-3.201
molid172,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-21.761999999999997
molid173,c1ccc(cc1)C=O,-5.058
molid174,c1ccnc(c1)Cl,-3.873
molid175,C=CCCl,0.9440000000000001
molid176,Cc1ccc(cc1)C(=O)C,-4.91
molid177,C=O,-3.155
molid178,Cc1ccccc1Cl,-0.473
molid179,CC(=O)N1CCCC1,-7.831
molid180,CC(OC)(OC)OC,-3.7
molid181,CCCCc1ccccc1,-0.22699999999999998
molid182,CN(C)c1ccccc1,-4.426
molid183,CC(C)OC,-0.657
molid184,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-1.147
molid185,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,0.76
molid186,C(C(Cl)Cl)Cl,-0.384
molid187,CNc1ccccc1,-5.718999999999999
molid188,CC(C)OC(=O)C,-3.3710000000000004
molid189,c1ccccc1,-0.8059999999999999
molid190,c1cc(c(c(c1)Cl)Cl)Cl,-0.51
molid191,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-7.024
molid192,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-14.106
molid193,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-3.16
molid194,CC(=C)C(=C)C,1.8619999999999999
molid195,CCCCC=C,2.628
molid196,S,-1.135
molid197,CCOCC,-0.617
molid198,CCNc1nc(nc(n1)SC)NC(C)C,-10.552
molid199,CCCCOC(=O)c1ccc(cc1)O,-8.771
molid200,CCCCCCOC(=O)C,-2.219
molid201,C1CCC(=O)C1,-3.889
molid202,CCCCC(=O)O,-9.052999999999999
molid203,CCBr,0.48700000000000004
molid204,Cc1ccc2cc(ccc2c1)C,-2.8480000000000003
molid205,CCCCCCO,-3.0
molid206,c1ccc(cc1)c2ccccc2Cl,-2.508
molid207,CC1=CCCCC1,1.338
molid208,CCCCCCO[N+](=O)[O-],-1.5959999999999999
molid209,C(Br)(Br)Br,-0.531
molid210,CCc1ccc(cc1)O,-5.452999999999999
molid211,CCCOCCO,-3.94
molid212,c1ccc(cc1)OC=O,-5.442
molid213,c1c(c(=O)[nH]c(=O)[nH]1)I,-17.742
molid214,CCCC(=O)O,-9.434
molid215,COC(C(F)(F)F)(OC)OC,-2.319
molid216,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-14.148
molid217,C(F)(F)(F)Br,1.564
molid218,CCCCO,-3.2319999999999998
molid219,c1ccc(cc1)F,-0.040999999999999995
molid220,CCOC(=O)C,-3.745
molid221,CC(C)COC(=O)C(C)C,-2.58
molid222,CC(C)(C)OC,-0.691
molid223,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-0.9740000000000001
molid224,CCC(=O)CC,-3.05
molid225,COC(=O)C(F)(F)F,-1.3530000000000002
molid226,c1ccc2ccccc2c1,-3.213
molid227,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-0.805
molid228,CC(=O)Oc1ccccc1C(=O)O,-9.399
molid229,CC(=O)C(C)(C)C,-3.234
molid230,COS(=O)(=O)C,-8.824
molid231,CCc1ccncc1,-3.19
molid232,CC(C)NC(C)C,-1.985
molid233,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.321
molid234,CCCCCCCN,-2.5540000000000003
molid235,CC1CCCC1,1.785
molid236,CCC,2.495
molid237,C[C@H]1CCCO1,-1.984
molid238,CNC(=O)Oc1cccc2c1cccc2,-10.436
molid239,c1cc(cc(c1)O)C=O,-9.369
molid240,c1ccc2cc3ccccc3cc2c1,-5.187
molid241,C(Cl)Cl,0.038
molid242,CC(C)(C)C(=O)OC,-3.304
molid243,C([N+](=O)[O-])(Cl)(Cl)Cl,-0.379
molid244,C1CC[S+2](C1)([O-])[O-],-9.624
molid245,Cc1cccc(c1O)C,-4.308
molid246,Cc1cccc(c1)O,-5.377999999999999
molid247,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-10.984000000000002
molid248,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-15.252
molid249,CCCCCCCC(=O)C,-2.563
molid250,CCCCN,-2.9610000000000003
molid251,CCCC(=O)OCC,-3.3810000000000002
molid252,Cc1ccc(cc1)N,-5.494
molid253,CCCCCCI,0.043
molid254,C(C(F)(Cl)Cl)(F)(F)Cl,1.6909999999999998
molid255,COP(=O)(OC)OC,-10.642000000000001
molid256,c1cc(cc(c1)Cl)Cl,-0.11
molid257,Cc1cc(c2ccccc2c1)C,-2.995
molid258,CCCC(C)C,2.8080000000000003
molid259,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-9.625
molid260,C(C(F)(F)F)Cl,0.233
molid261,C=C,2.3280000000000003
molid262,CCCCCI,-0.111
molid263,COC(OC)OC,-4.625
molid264,CCCCCCCCCC,3.335
molid265,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-5.646
molid266,CC=C,2.3280000000000003
molid267,Cc1c[nH]c2c1cccc2,-8.161
molid268,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-13.424000000000001
molid269,C1CCCCC1,1.5030000000000001
molid270,CC(=CCC/C(=C/CO)/C)C,-2.5180000000000002
molid271,CC(C)c1ccccc1,-0.674
molid272,CC(C)C(C)C(C)C,2.674
molid273,CC(C)C(=O)C,-3.0780000000000003
molid274,CCCCNCCCC,-2.076
molid275,CCCCS,-0.174
molid276,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-2.775
molid277,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-9.846
molid278,C1CCC(CC1)N,-3.9530000000000003
molid279,C(F)(F)Cl,-0.067
molid280,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.587999999999999
molid281,CC(=O)c1cccnc1,-7.843999999999999
molid282,CC#C,0.065
molid283,CCCCCCCCC=O,-2.336
molid284,CCC(=O)O,-9.088
molid285,C(Cl)(Cl)Cl,0.285
molid286,Cc1cccc(c1C)C,-0.883
molid287,C,2.4459999999999997
molid288,c1ccc(cc1)CCl,-1.742
molid289,CC1CCCCC1,1.679
molid290,Cc1cccs1,-0.3
molid291,c1ccncc1,-3.508
molid292,CCCCCl,0.993
molid293,C[C@H]1CC[C@@H](O1)C,-1.787
molid294,Cc1ccc(c(c1)OC)O,-4.547
molid295,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.23
molid296,Cc1ccccc1,-0.79
molid297,CC(C)COC=O,-3.458
molid298,CCOC(=O)c1ccc(cc1)O,-9.535
molid299,CCOCCOCC,-3.42
molid300,CCCCCOC(=O)CC,-2.176
molid301,CCCc1ccc(cc1)O,-5.211
molid302,CC=C(C)C,2.272
molid303,C(CCl)Cl,-0.363
molid304,CCC(C)(C)CC,2.593
molid305,Cc1cc2ccccc2cc1C,-2.9530000000000003
molid306,Cc1cccc(n1)C,-3.443
molid307,COC(C(Cl)Cl)(F)F,-0.685
molid308,CCOCCOC(=O)C,-5.751
molid309,COc1cccc(c1)N,-7.2010000000000005
molid310,c1cc(cnc1)C=O,-7.425
molid311,CCC(C)(C)O,-2.9330000000000003
molid312,CCc1cccc(c1N(COC)C(=O)CCl)CC,-6.851
molid313,Cn1cccc1,-2.374
molid314,COCOC,-3.221
molid315,CCC(CC)O,-2.786
molid316,CCCCCCCCCC(=O)C,-2.201
molid317,C(CBr)Cl,-0.8
molid318,c1ccc(cc1)I,-1.057
molid319,CC1=CC(=O)CC(C1)(C)C,-4.088
molid320,CCI,-0.609
molid321,CCCc1ccc(c(c1)OC)O,-4.127
molid322,CC(C)Br,0.44799999999999995
molid323,Cc1ccc(cc1)Br,-0.894
molid324,c1cc(ccc1C#N)O,-8.39
molid325,CS(=O)(=O)C,-10.559000000000001
molid326,CCc1cccc(c1)O,-5.272
molid327,CC1=CC[C@H](C[C@@H]1O)C(=C)C,-3.2569999999999997
molid328,c1cc(ccc1Br)Br,-1.091
molid329,COc1c(ccc(c1C(=O)O)Cl)Cl,-8.658
molid330,CC/C=C\C,2.374
molid331,CC,2.465
molid332,COc1ccccc1OC,-4.055
molid333,CCSCC,0.299
molid334,c1cc(cnc1)C#N,-5.582000000000001
molid335,c1cc(c(cc1O)Cl)Cl,-5.138999999999999
molid336,COc1ccccc1,-2.318
molid337,Cc1ccc(c(c1)O)C,-5.013999999999999
molid338,c1cc(ccc1Cl)Cl,-0.19
molid339,C(F)Cl,-0.171
molid340,CCCC=C,2.532
molid341,c1cc(c(c(c1Cl)Cl)Cl)Cl,-0.304
molid342,CCCCCC#C,0.639
molid343,CCCCCCCCC(=O)C,-2.573
molid344,c1ccc(cc1)Cl,-0.475
molid345,CN(C)CCOC(c1ccccc1)c2ccccc2,-7.872999999999999
molid346,CCCCC=O,-2.927
molid347,c1ccc(cc1)Oc2ccccc2,-2.81
molid348,C1CCC(=O)CC1,-4.18
molid349,CCCC[N+](=O)[O-],-1.449
molid350,c1cnccc1C=O,-7.337999999999999
molid351,C(CCl)OCCCl,-2.248
molid352,CC[N+](=O)[O-],-1.839
molid353,c1cc(cnc1)Cl,-2.767
molid354,CBr,0.46
molid355,CO,-3.491
molid356,CCCCCCC=O,-2.7039999999999997
molid357,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-1.226
molid358,c1ccc(c(c1)N)[N+](=O)[O-],-7.66
molid359,CN1CCCCC1,-3.467
molid360,CCCCCCCC=O,-2.57
molid361,c1ccc(cc1)[N+](=O)[O-],-3.46
molid362,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-3.523
molid363,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-18.095
molid364,CF,0.8809999999999999
molid365,CS(=O)C,-8.243
molid366,c1ccc2c(c1)Oc3ccccc3O2,-4.9
molid367,Cc1ccccc1N,-5.325
molid368,CCCCBr,0.705
molid369,CCCCCCCCCO,-2.5639999999999996
molid370,Cc1ccncc1,-3.343
molid371,C(=C(Cl)Cl)(Cl)Cl,1.328
molid372,CC(C)(C)Br,0.43799999999999994
molid373,C=C(c1ccccc1)c2ccccc2,-2.47
molid374,CCc1ccc(cc1)C,-0.575
molid375,Cc1cccnc1,-3.221
molid376,COCC(OC)(OC)OC,-5.436
molid377,c1ccc-2c(c1)Cc3c2cccc3,-4.269
molid378,CC(=O)N,-8.82
molid379,COS(=O)(=O)OC,-8.411
molid380,C(C(Cl)Cl)(Cl)Cl,-0.534
molid381,COC(=O)C1CCCCC1,-4.376
molid382,CCCCCCBr,1.0759999999999998
molid383,CCCCCCCBr,1.2229999999999999
molid384,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-4.473
molid385,COC(CC#N)(OC)OC,-5.859
molid386,CC[C@H](C)Cl,0.927
molid387,CCCCCCc1ccccc1,-0.1
molid388,COc1cc(c(c(c1O)OC)Cl)C=O,-8.292
molid389,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,-0.34
molid390,c1ccc(cc1)Cn2ccnc2,-7.997000000000001
molid391,c1ccc2c(c1)cccc2N,-7.777
molid392,CCOC(=O)CC(=O)OCC,-6.716
molid393,CC(=O)C1CC1,-3.043
molid394,c1cc[nH]c1,-4.013999999999999
molid395,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-6.6129999999999995
molid396,CC1CCC(CC1)C,1.9180000000000001
molid397,C1CCC(CC1)O,-4.178
molid398,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.349
molid399,c1cc(ccc1O)F,-4.955
molid400,c1ccc(c(c1)N)Cl,-4.8469999999999995
molid401,Cc1ccc(c(c1)C)C,-0.795
molid402,CCc1ccccc1C,-0.7609999999999999
molid403,C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.344
molid404,c1ccc(cc1)c2ccccc2,-3.1430000000000002
molid405,Cc1cccc(c1C)O,-5.148
molid406,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-10.466
molid407,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-9.211
molid408,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-7.502999999999999
molid409,CSC,0.44
molid410,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-17.242
molid411,C1CCC(C1)O,-4.29
molid412,CCCCC(=O)OC,-3.492
molid413,CCCC(=C)C,2.4859999999999998
molid414,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-13.953
molid415,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-11.245999999999999
molid416,C=CCl,1.162
molid417,Cc1ccc(cc1)C(=O)N(C)C,-8.081
molid418,CCCC(=O)CCC,-2.7039999999999997
molid419,COC(=O)c1ccccc1,-4.921
molid420,Cc1ccc(cc1)C=O,-5.013999999999999
molid421,CCCC(=O)OCCC,-2.7539999999999996
molid422,C1CNCCN1,-8.481
molid423,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-16.515
molid424,CCOCCO,-4.407
molid425,CCC(C)CC,2.613
molid426,Cc1cnccn1,-6.1610000000000005
molid427,CCC[N+](=O)[O-],-1.632
molid428,Cc1cc(cc(c1)C)C,-0.5529999999999999
molid429,c1c(c(=O)[nH]c(=O)[nH]1)F,-16.371
molid430,CCO,-3.3939999999999997
molid431,Cc1ccc(c2c1cccc2)C,-3.0810000000000004
molid432,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-2.54
molid433,c1cc(c(c(c1)Cl)C#N)Cl,-3.32
molid434,CCOC=O,-3.867
molid435,c1c(c(cc(c1Cl)Cl)Cl)Cl,0.035
molid436,CCOC(OCC)Oc1ccccc1,-5.202999999999999
molid437,c1cc(cc(c1)O)[N+](=O)[O-],-7.888999999999999
molid438,CCCCCCCCO,-2.69
molid439,CCC=C,2.367
molid440,C(Cl)(Cl)(Cl)Cl,1.185
molid441,c1ccc(cc1)CCO,-5.28
molid442,CN(C)C(=O)Nc1ccccc1,-11.81
molid443,CSSC,-0.09300000000000001
molid444,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-8.718
molid445,CC(=O)OCC(COC(=O)C)OC(=O)C,-12.333
molid446,COC,-0.853
molid447,CCCCCC,2.8510000000000004
molid448,C(CBr)Br,-1.275
molid449,C(C(Cl)(Cl)Cl)(Cl)Cl,0.059000000000000004
molid450,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-17.349
molid451,Cc1cccc(c1N)C,-5.57
molid452,CCCOC(=O)C,-3.486
molid453,c1ccc2c(c1)cccn2,-4.989
molid454,CCS,-0.395
molid455,CCSSCC,-0.9790000000000001
molid456,c1ccsc1,-0.359
molid457,CCc1cccc2c1cccc2,-2.9610000000000003
molid458,CCCC(=O)C,-3.1660000000000004
molid459,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-0.039
molid460,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-1.956
molid461,CC(=O)O,-7.281000000000001
molid462,CC=O,-3.372
molid463,c1cc(cc(c1)[N+](=O)[O-])N,-8.204
molid464,CCCCC#C,0.5529999999999999
molid465,COc1ccccc1N,-6.771
molid466,c1ccc(cc1)O,-5.707000000000001
molid467,CCC#N,-2.491
molid468,c1ccc2c(c1)cccc2O,-7.1370000000000005
molid469,CCCCOC(=O)C,-3.406
molid470,CC(C)(/C=N\OC(=O)NC)SC,-9.679
molid471,Cc1ccccc1O,-5.0760000000000005
molid472,CC(C)C=O,-2.968
molid473,CCC(=O)N,-8.31
molid474,CCCBr,0.579
molid475,CC(C)Cl,0.833
molid476,C(CCl)CCl,-0.41600000000000004
molid477,c1cc(ccc1[N+](=O)[O-])O,-8.472000000000001
molid478,C[C@@H](CCl)Cl,-0.265
molid479,c1cc(ccc1N)Cl,-5.281000000000001
molid480,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-12.214
molid481,Cc1cccnc1C,-3.367
molid482,c1cnccc1C#N,-5.765
molid483,CCOP(=S)(OCC)SCSCC,-6.4270000000000005
molid484,CC(=O)C1CCCCC1,-4.003
molid485,Cc1ccccc1C=O,-4.553999999999999
molid486,CC(=O)c1ccncc1,-7.566
molid487,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-1.8780000000000001
molid488,CC(=O)C,-3.5060000000000002
molid489,CC(=C)C,2.327
molid490,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-0.922
molid491,CCCCC[N+](=O)[O-],-1.325
molid492,CCC/C=C/C=O,-3.123
molid493,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-10.036
molid494,C1CCOC1,-2.201
molid495,CCCCCCCC,3.088
molid496,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.023
molid497,CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.964
molid498,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.944
molid499,CC(C)OC(C)C,-0.17800000000000002
molid500,CCCCC(C)C,2.8939999999999997
molid501,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-1.284
molid502,[C@@H](C(F)(F)F)(Cl)Br,0.20600000000000002
molid503,CCCCOCCCC,0.139
molid504,CCCCCC1CCCC1,2.381
molid505,CC(C)CC(C)C,2.7560000000000002
molid506,Cc1ccc(nc1)C,-3.165
molid507,C/C=C/C=O,-3.341
molid508,CCC[C@H](C)CC,2.81
molid509,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-0.47700000000000004
molid510,c1ccc(cc1)O[C@@H](C(F)F)F,-3.043
molid511,COCCOC,-3.103
molid512,CC[C@H](C)c1ccccc1,-0.22
molid513,c1ccc(cc1)CCCO,-5.771
molid514,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-5.377999999999999
molid515,COc1ccc(cc1)C(=O)OC,-6.462000000000001
molid516,CCC(=O)Nc1ccc(c(c1)Cl)Cl,-9.408999999999999
molid517,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-12.199000000000002
molid518,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.077
molid519,CC(C)CCOC(=O)C,-3.0669999999999997
molid520,CCCCCCCl,1.261
molid521,CC(C)CC(=O)C,-3.116
molid522,CCCCCC=O,-2.86
molid523,c1cc(cc(c1)Cl)N,-5.138
molid524,C1COCCN1,-6.1160000000000005
molid525,CCOC(C)OCC,-1.795
molid526,CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.303
molid527,CS,-0.273
