compound,CAS NO.,Status,flashPoint,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2,smiles,id
Methyltrimethoxysilane,1185-55-3,Training,11.0,7.07000000000005,0.0,3.68,0.04,154.46,0.0,4.5,C[Si](OC)(OC)OC,molid28
Tetramethoxysilane,681-84-5,Training,21.0,9.58000000000004,0.0,4.24,0.06,197.69,0.0,6.88,CO[Si](OC)(OC)OC,molid29
Tetramethylsilane,75-76-3,Training,-27.999999999999968,-36.19999999999999,0.0,2.0,0.02,56.1,0.01,3.6,C[Si](C)(C)C,molid30
Diethylsilane,542-91-6,Training,-19.999999999999968,-18.929999999999982,0.0,2.41,0.02,57.75,0.01,2.71,C(C)[SiH2]CC,molid31
"(N,N-Dimethylamino)dimethylsilane",67353-43-9,Training,-13.0,-20.499999999999968,0.0,2.64,0.03,84.71,0.0,5.39,CN(C)[SiH](C)C,molid32
Tetraisocyanatosilane,3410-77-3,Training,50.0,48.93000000000001,0.0,6.24,0.11,189.44,0.0,10.19,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,molid33
Cyclopentyltrichlorosilane,14579-03-4,Training,77.0,59.97000000000003,0.0,4.11,0.05,89.44,0.0,-6.22,C1(CCCC1)[Si](Cl)(Cl)Cl,molid34
Trimethylsilyltrifluoroacetate,400-53-3,Training,0.0,5.4500000000000455,0.15,4.63,0.2,204.19,0.0,-10.47,C[Si](C)(C)OC(C(F)(F)F)=O,molid35
Cyclopentyldichlorosilane,,Training,43.0,47.65000000000003,0.0,3.8,0.07,86.36,0.0,-5.47,C1(CCCC1)[SiH](Cl)Cl,molid36
3-Chloro-2-methylpropylmethyldichlorosilane,1628-11-1,Training,90.0,70.52000000000005,0.0,3.66,0.07,106.28,0.0,-13.43,ClCC(C[Si](Cl)(Cl)C)C,molid37
Methylvinyldimethoxysilane,16753-62-1,Training,4.0,9.129999999999997,0.0,3.68,0.03,130.25,0.0,4.31,CC=C[SiH](OC)OC,molid38
Vinyltrimethoxysilane,2/7/2768,Training,23.0,15.660000000000027,0.0,4.24,0.04,171.26,0.0,6.17,C(=C)[Si](OC)(OC)OC,molid39
Trimethylvinylsilane,754-05-2,Training,-33.999999999999964,-14.310000000000002,0.0,2.56,0.02,60.24,0.0,3.24,CC(=C(C)C)[SiH3],molid40
Diethylmethylchlorosilane,7787-87-3,Training,15.0,18.920000000000016,0.0,3.12,0.04,92.51,0.0,-1.88,C(C)[Si](Cl)(C)CC,molid41
Chloromethyldimethylethoxysilane,13508-53-7,Training,26.0,29.75,0.0,3.62,0.04,127.63,0.0,-2.0,ClC[Si](OCC)(C)C,molid42
Ethoxytrimethylsilane,1825-62-3,Training,-26.999999999999968,-5.159999999999968,0.0,3.06,0.03,104.03,0.0,4.69,C(C)O[Si](C)(C)C,molid43
Ethyltrimethoxysilane,5314-55-6,Training,27.0,20.640000000000047,0.0,4.24,0.04,178.67,0.0,4.6,C(C)[Si](OC)(OC)OC,molid44
"(N,N-Dimethylamino)trimethylsilane",2083-91-2,Training,-18.649999999999977,-10.549999999999956,0.0,2.94,0.02,94.81,0.0,5.33,CN(C)[Si](C)(C)C,molid45
Pentamethyldisiloxane,1438-82-0,Training,-18.999999999999968,-5.039999999999964,0.0,3.42,0.04,135.04,0.0,7.15,C[SiH](O[Si](C)(C)C)C,molid46
Phenylsilane,694-53-1,Training,8.0,20.02000000000004,0.0,3.39,0.03,56.45,0.0,-0.05,C1(=CC=CC=C1)[SiH3],molid47
1-Hexenyltrichlorosilane,18817-29-3,Training,60.0,73.16000000000003,0.0,4.56,0.05,117.5,0.0,-6.71,C(=CCCCC)[Si](Cl)(Cl)Cl,molid48
Cyclohexyltrichlorosilane,98-12-4,Training,85.0,71.55000000000003,0.0,4.61,0.05,104.76,0.0,-5.85,C1(CCCCC1)[Si](Cl)(Cl)Cl,molid49
Bis(chloromethyl)tetramethyldisiloxane,2362-40-9,Training,73.0,63.55000000000001,0.0,4.83,0.04,218.82,0.0,-3.62,ClC[Si](O[Si](C)(C)C)(C)CCl,molid50
Propargyloxytrimethylsilane,5582-62-7,Training,27.0,15.160000000000027,0.0,3.56,0.04,100.74,0.0,2.56,C(C#C)O[Si](C)(C)C,molid51
Divinyldimethylsilane,10519-87-6,Training,8.0,2.7300000000000177,0.0,3.12,0.02,67.49,0.0,2.88,C(=C)[Si](C)(C)C=C,molid52
n-Hexyltrichlorosilane,928-65-4,Training,85.0,70.15000000000003,0.0,4.56,0.05,127.22,0.0,-5.97,C(CCCCC)[Si](Cl)(Cl)Cl,molid53
Hexyldichlorosilane,871-64-7,Training,64.0,60.100000000000016,0.0,4.27,0.07,118.51,0.0,-5.56,C(CCCCC)[SiH](Cl)Cl,molid54
"1,1 -Dimethyl-1-sila-2-oxacyclohexane",5833-47-6,Training,14.0,16.160000000000025,0.0,3.71,0.03,108.83,0.0,3.08,C[Si]1(OCCCC1)C,molid55
Acetoxymethyltrimethylsilane,2917-65-9,Training,20.0,22.18000000000001,0.0,3.95,0.08,153.95,0.0,1.88,C(C)(=O)OC[Si](C)(C)C,molid56
Allyltrimethylsilane,762-72-1,Training,7.0,1.0100000000000475,0.0,3.06,0.02,75.25,0.0,3.59,C(C=C)[Si](C)(C)C,molid57
Triethylchlorosilane,994-30-9,Training,30.0,34.420000000000016,0.0,3.68,0.02,92.21,0.0,-1.52,C(C)[Si](Cl)(CC)CC,molid58
t-Butyldimethylchlorosilane,18162-48-6,Training,22.0,23.370000000000005,0.0,3.25,0.02,91.47,0.0,-1.64,C(C)(C)(C)[Si](Cl)(C)C,molid59
3-Chloropropylmethyldimethoxysilane,18171-19-2,Training,45.0,44.74000000000001,0.0,4.68,0.05,187.0,0.0,0.96,ClCCC[Si](OC)(OC)C,molid60
Trimethyl-n-propoxysilane,1825-63-4,Training,10.0,5.800000000000012,0.0,3.56,0.03,124.81,0.0,5.4,C[Si](OCCC)(C)C,molid61
t-Butyldimethylsilanol,18173-64-3,Training,45.0,1.1299999999999957,0.0,3.25,0.09,113.95,0.0,2.72,C(C)(C)(C)[Si](O)(C)C,molid62
Dimethyldiethoxysilane,78-62-6,Training,11.0,19.910000000000025,0.0,4.12,0.03,163.19,0.0,4.73,C[Si](OCC)(OCC)C,molid63
Triethylsilane,617-86-7,Training,-3.0,3.7800000000000296,0.0,3.35,0.03,85.14,0.0,4.24,C(C)[SiH](CC)CC,molid64
Hexylsilane,1072-14-6,Training,12.0,16.900000000000034,0.0,3.41,0.02,92.68,0.0,2.04,C(CCCCC)[SiH3],molid65
t-Butyld imethyl silane,29681-57-0,Training,-21.999999999999968,-4.159999999999968,0.0,2.94,0.03,80.25,0.0,3.7,C(C)(C)(C)[SiH](C)C,molid66
Bis(dimethylamino)dimethylsilane,3768-58-9,Training,-7.0,9.310000000000002,0.0,3.89,0.02,142.49,0.0,6.66,CN(C)[Si](C)(C)N(C)C,molid67
Hexamethylcyclotrisiloxane,541-05-9,Training,32.0,26.620000000000005,0.0,5.12,0.03,216.52,0.0,9.9,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,molid68
Hexamethyldisilthiane,3385-94-2,Training,26.0,9.460000000000036,0.0,3.71,0.02,134.98,0.0,6.0,C[Si](S[Si](C)(C)C)(C)C,molid69
Hexamethyldisilazane,999-97-3,Training,8.0,5.2700000000000395,0.0,3.71,0.05,147.79,0.0,6.03,C[Si](N[Si](C)(C)C)(C)C,molid70
Tris(dimethylamino)silane,15112-89-7,Training,25.0,15.450000000000045,0.0,4.46,0.05,181.81,0.0,7.95,CN(C)[SiH](N(C)C)N(C)C,molid71
Hexamethyltrisiloxane,1189-93-1,Training,20.0,13.490000000000007,0.0,4.83,0.04,248.5,0.0,10.66,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,molid72
Phenylmethyldichlorosilane,149-74-6,Training,67.0,75.77000000000005,0.0,4.61,0.03,81.85,0.0,-6.22,C1(=CC=CC=C1)C[SiH](Cl)Cl,molid73
Phenylmethylchlorosilane,1631-82-9,Training,82.0,55.48000000000002,0.0,4.3,0.05,81.56,0.0,-3.16,C1(=CC=CC=C1)C[SiH2]Cl,molid74
Methyltriacetoxysilane,4253-34-3,Training,85.0,74.73000000000002,0.0,6.25,0.09,291.77,0.0,1.36,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid75
Trivinylmethylsilane,18244-95-6,Training,15.0,19.07000000000005,0.0,3.68,0.02,70.31,0.0,2.67,C(=C)C(C=C)(C=C)[SiH3],molid76
Cyclohexylmethyldichlorosilane,5578-42-7,Training,82.0,69.76000000000005,0.0,4.61,0.03,108.78,0.0,-4.85,C1(CCCCC1)C[SiH](Cl)Cl,molid77
"1-(Trimethylsiloxy)-1,3-butadiene",6651-43-0,Training,25.0,28.51000000000005,0.0,4.06,0.04,123.78,0.0,2.53,C[Si](OC=CC=C)(C)C,molid78
2-Chloromethyl-3-trimethylsilyl-1-propene,18388-03-9,Training,43.0,36.88,0.0,3.95,0.04,114.69,0.0,-0.63,ClCC(=C)C[Si](C)(C)C,molid79
n-Heptyltrichlorosilane,871-41-0,Training,64.0,81.11000000000001,0.0,5.06,0.05,152.54,0.0,-5.76,C(CCCCCC)[Si](Cl)(Cl)Cl,molid80
n-Hexylmethyldichlorosilane,14799-94-1,Training,85.0,69.85000000000002,0.0,4.56,0.03,128.61,0.0,-5.36,C(CCCCC)[Si](Cl)(Cl)C,molid81
Vinylmethyldiethoxysilane,5507-44-8,Training,16.0,31.629999999999995,0.0,4.68,0.03,165.29,0.0,5.65,C(=C)C[SiH](OCC)OCC,molid82
N-(Trimethylsilyl)morpholine,13368-42-8,Training,27.0,34.23000000000002,0.0,4.61,0.03,165.5,0.0,4.37,C[Si](N1CCOCC1)(C)C,molid83
t-Butoxytrimethylsilane,13058-24-7,Training,14.0,11.780000000000028,0.0,3.71,0.02,131.4,0.0,4.98,C(C)(C)(C)O[Si](C)(C)C,molid84
(1-Methoxy-2-propoxy)trimethylsilane,55816-62-1,Training,20.0,21.07000000000005,0.0,4.45,0.04,193.71,0.0,6.36,COCC(C)O[Si](C)(C)C,molid85
Methyltriethoxysilane,2031-67-6,Training,24.0,40.38,0.0,5.18,0.04,218.67,0.0,5.99,C[Si](OCC)(OCC)OCC,molid86
(Diethylamino)trimethylsilane,996-50-9,Training,10.0,19.04000000000002,0.0,4.02,0.02,125.7,0.0,5.16,C(C)N(CC)[Si](C)(C)C,molid87
Bis(trimethylsilyl)methane,2117-28-4,Training,12.0,12.530000000000028,0.0,3.71,0.02,129.82,0.0,4.96,C[Si](C)(C)C[Si](C)(C)C,molid88
Heptamethyldisilazane,37074-17-2,Training,27.0,19.69,0.0,4.15,0.02,153.31,0.0,5.85,C[Si](N([Si](C)(C)C)C)(C)C,molid89
Bis(trimethylsiloxy)methylsilane,1873-88-7,Training,23.0,30.660000000000025,0.0,5.41,0.03,274.32,0.0,10.06,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,molid90
Tetravinylsilane,1112-55-6,Training,18.0,34.650000000000034,0.0,4.24,0.02,79.04,0.0,2.7,C(=C)[Si](C=C)(C=C)C=C,molid91
Cyclopentadienyltrimethylsilane,3559-74-8,Training,29.0,27.070000000000054,0.0,4.11,0.02,87.15,0.0,4.16,C1(C=CC=C1)[Si](C)(C)C,molid92
(Cyclopentenyloxy)trimethylsilane,19980-43-9,Training,38.0,37.670000000000016,0.0,4.58,0.02,135.94,0.0,4.07,C1(=CCCC1)O[Si](C)(C)C,molid93
"(2,4-Pentadienyl)trimethylsilane",1777-03-3,Training,18.0,28.02000000000004,0.0,4.06,0.02,104.49,0.0,3.71,C(C=CC=C)[Si](C)(C)C,molid94
n-Octyltrichlorosilane,5283-66-9,Training,96.0,92.35000000000002,0.0,5.56,0.05,171.84,0.0,-5.56,C(CCCCCCC)[Si](Cl)(Cl)Cl,molid95
n-Heptylmethyldichlorosilane,18395-93-2,Training,66.0,79.22000000000003,0.0,5.06,0.03,152.37,0.0,-4.63,C(CCCCCC)[Si](Cl)(Cl)C,molid96
Tetramethyldivinyldisiloxane,2627-95-4,Training,19.0,35.05000000000001,0.0,4.83,0.03,166.59,0.0,6.28,C[Si](O[Si](C=C)(C=C)C)(C)C,molid97
Triethylacetoxysilane,5290-29-9,Training,41.0,48.15000000000003,0.0,5.1,0.08,173.44,0.0,2.89,C(C)C(C(=O)O[SiH3])(CC)CC,molid98
Vinyltriethoxysilane,78-08-0,Training,34.0,50.51000000000005,0.0,5.74,0.04,236.32,0.0,7.02,C(=C)[Si](OCC)(OCC)OCC,molid99
"1,3-Divinyltetramethyldisilazane",2/3/7691,Training,34.0,37.49000000000001,0.0,4.83,0.05,167.6,0.0,4.9,C(=C)[Si](N[Si](C=C)(C)C)(C)C,molid100
Diethyldiethoxysilane,5021-93-2,Training,43.0,41.94,0.0,5.24,0.03,197.91,0.0,6.45,C(C)[Si](OCC)(OCC)CC,molid101
Tetraethoxysilane,78-10-4,Training,50.0,58.18000000000001,0.0,6.24,0.06,289.44,0.0,7.0,C(C)O[Si](OCC)(OCC)OCC,molid102
Tetraethylsilane,631-36-7,Training,32.0,29.27000000000004,0.0,4.24,0.02,111.13,0.0,4.2,C(C)[Si](CC)(CC)CC,molid103
Aminoethylaminopropyltrimethoxysilane,1760-24-3,Training,-4.0,63.200000000000045,0.0,6.74,0.04,349.67,0.0,8.66,NCCNCCC[Si](OC)(OC)OC,molid104
Tetramethyldiethoxysiloxane,18420-09-2,Training,38.0,49.850000000000016,0.0,5.83,0.03,279.95,0.0,7.18,CC(C(O[Si]([O])OCC)(C)C)C,molid105
Octamethyltrisiloxane,107-51-7,Training,30.0,30.629999999999995,0.0,5.41,0.03,283.01,0.0,9.89,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,molid106
Octamethylcyclotetrasiloxane,556-67-2,Training,57.0,56.23000000000002,0.0,6.83,0.03,335.35,0.0,12.15,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,molid107
Octamethylcyclotetrasilazane,1020-84-4,Training,66.0,57.87000000000001,0.0,6.83,0.05,374.95,0.0,10.13,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,molid108
Tetrakisdimethylsiloxysilane,17082-47-2,Training,67.0,55.960000000000036,0.0,7.67,0.06,507.13,0.0,14.27,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,molid109
p-Chlorophenyltrimethylsilane,10557-71-8,Training,49.0,72.15000000000003,0.0,5.0,0.03,115.84,0.0,-2.49,ClC1=CC=C(C=C1)[Si](C)(C)C,molid110
Phenyltrimethoxysilane,2996-92-1,Training,85.0,67.87,0.0,6.29,0.04,220.36,0.0,6.42,C1(=CC=CC=C1)[Si](OC)(OC)OC,molid111
Trimethylphenylsilane,768-32-1,Training,40.0,43.51000000000005,0.0,4.61,0.02,93.95,0.0,3.34,C[Si](C1=CC=CC=C1)(C)C,molid112
Cyclohexylmethyldimethoxysilane,17865-32-6,Training,70.0,58.58000000000004,0.0,5.73,0.03,202.89,0.0,5.32,C1(CCCCC1)C[SiH](OC)OC,molid113
Hexyltrimethoxysilane,3069-19-0,Training,62.0,65.04000000000002,0.0,6.24,0.04,278.12,0.0,5.91,C(CCCCC)[Si](OC)(OC)OC,molid114
Triisopropylsilane,6459-79-6,Training,37.0,34.710000000000036,0.0,4.46,0.03,125.85,0.0,4.1,C(C)(C)[SiH](C(C)C)C(C)C,molid115
Tri-n-propylsilane,998-29-8,Training,43.0,40.82000000000005,0.0,4.85,0.03,143.0,0.0,5.03,C(CC)[SiH](CCC)CCC,molid116
Propyltris(dimethylsiloxy)silane,172080-99-8,Training,50.0,68.53000000000003,0.0,7.31,0.05,399.95,0.0,10.46,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,molid117
Benzyltrimethylsilane,770-09-2,Training,62.0,53.32000000000005,0.0,5.08,0.02,110.52,0.0,4.04,C(C1=CC=CC=C1)[Si](C)(C)C,molid118
3-Methacryloxypropyltrimethoxysilane,2530-85-0,Training,92.0,92.34000000000003,0.0,7.51,0.08,402.33,0.0,4.04,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,molid119
1-Heptynyltrimethylsilane,15719-56-9,Training,42.0,45.76000000000005,0.0,5.06,0.02,143.88,0.0,5.74,C(#CCCCCC)[Si](C)(C)C,molid120
n-Octyldimethylchlorosilane,18162-84-0,Training,97.0,74.78000000000003,0.0,5.56,0.02,187.67,0.0,0.04,C(CCCCCCC)[Si](Cl)(C)C,molid121
Bis(diethylamino)dimethylsilane,4669-59-4,Training,35.0,63.30000000000001,0.0,6.04,0.02,220.07,0.0,6.34,C(C)N(CC)[Si](C)(C)N(CC)CC,molid122
Decamethyltetrasiloxane,141-62-8,Training,62.0,59.28000000000003,0.0,7.12,0.03,413.25,0.0,11.97,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,molid123
Decamethylcyclopentasiloxane,541-02-6,Training,77.0,83.70000000000005,0.0,8.54,0.03,485.8,0.0,14.18,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,molid124
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",4/3/3388,Training,146.0,107.85000000000002,0.0,7.73,0.04,366.02,0.0,2.93,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,molid125
n-Decylmethyldichlorosilane,18051-88-2,Training,120.0,110.44,0.0,6.56,0.03,217.51,0.0,-3.51,C(CCCCCCCCC)[Si](Cl)(Cl)C,molid126
Vinyltriethylsilane,1112-54-5,Training,45.0,31.31,0.0,4.24,0.02,102.81,0.0,3.68,C(=C)[Si](CC)(CC)CC,molid127
Diphenyldichlorosilane,1980-40-4,Training,142.0,140.44,0.0,7.21,0.03,124.77,0.0,-5.52,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,molid128
Phenyltriethoxysilane,780-69-8,Training,120.0,98.71000000000004,0.0,7.79,0.04,301.74,0.0,7.46,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,molid129
Diphenylsilane,775-12-2,Training,98.0,94.22000000000004,0.0,6.45,0.03,113.48,0.0,2.44,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,molid130
"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",27342-69-4,Training,112.0,117.10000000000002,0.0,9.07,0.03,402.67,0.0,10.03,C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,molid131
n-Dodecyltrichlorosilane,4484-72-4,Training,162.0,133.0,0.0,7.56,0.05,284.53,0.0,-4.36,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,molid132
Tetra-n-propoxysilane,682-01-9,Training,95.0,96.37,0.0,8.24,0.06,412.54,0.0,8.88,C(CC)O[Si](OCCC)(OCCC)OCCC,molid133
Hexaethyldisiloxane,994-49-0,Training,76.0,86.16000000000004,0.0,7.07,0.02,268.06,0.0,6.73,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,molid134
Dodecamethylpentasiloxane,141-63-9,Training,79.0,92.72000000000004,0.0,8.83,0.03,536.04,0.0,12.76,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,molid135
Dodecamethylcyclohexasiloxane,540-97-6,Training,93.0,107.03000000000004,0.0,10.24,0.03,677.81,0.0,16.51,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,molid136
Methyldiphenylchlorosilane,144-79-6,Training,138.0,126.82000000000004,0.0,7.21,0.02,132.64,0.0,-1.57,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,molid137
n-Dodecylmethyldichlorosilane,18407-07-3,Training,143.0,128.17000000000002,0.0,7.56,0.03,271.06,0.0,-2.1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,molid138
Diphenyldimethoxysilane,6843-66-9,Training,121.0,123.99,0.0,8.33,0.03,229.79,0.0,5.76,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,molid139
Octyltriethoxysilane,2943-75-1,Training,100.0,110.78000000000004,0.0,8.74,0.04,437.51,0.0,8.59,C(CCCCCCC)[Si](OCC)(OCC)OCC,molid140
Tetradecamethylhexasiloxane,107-52-8,Training,102.0,113.49,0.0,10.54,0.03,736.38,0.0,15.63,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid141
Hexadecamethylheptasiloxane,541-0-1,Training,133.0,138.54000000000002,0.0,12.24,0.03,938.33,0.0,17.19,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid142
n-Octadecyltrichlorosilane,112-04-9,Training,193.0,190.49,0.0,10.56,0.28,651.69,0.0,-11.36,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,molid143
Octadecamethyloctasiloxane,556-69-4,Training,144.0,134.54000000000002,0.0,13.95,0.22,1929.96,0.0,5.84,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,molid144
Vinyltris(methoxyethoxy)silane,1067-53-4,Training,80.0,90.45000000000003,0.0,8.74,0.26,701.25,0.0,3.43,C(=C)[Si](OCCOC)(OCCOC)OCCOC,molid145
Trimethyl(vinyloxy)silane,6213-94-1,Training,-10.0,-3.0199999999999823,0.0,3.06,0.19,117.98,0.0,-0.4,C[Si](OC=C)(C)C,molid146
Trichloro(3-cyanopropyl) Silane,1071-27-8,Training,92.0,85.22000000000003,0.0,4.06,0.28,162.39,0.0,-20.9,Cl[Si](CCCC#N)(Cl)Cl,molid147
Trichloro(2-phenylethyl)silane,940-41-0,Training,91.0,114.35000000000002,0.0,5.58,0.28,205.9,0.0,-18.32,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,molid148
"Chlorodimethyl(3,3,3-trifluoropropyl) silane",1481-41-0,Training,20.0,25.470000000000034,0.15,4.21,0.2,208.67,0.0,-19.65,Cl[Si](CCC(F)(F)F)(C)C,molid149
Vinylmethylbis (trimethylsiloxy) silane,5356-85-4,Training,51.0,46.08000000000004,0.0,5.97,0.21,412.4,0.0,2.29,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,molid150
Trichloro(Chloromethyl) silane,1558-25-4,Training,69.0,47.5,0.0,2.56,0.29,119.37,0.0,-22.75,Cl[Si](CCl)(Cl)Cl,molid151
Dimethyl(pentafluorophenyl) silane,13888-77-2,Training,40.0,41.230000000000025,0.24,6.37,0.17,306.47,0.0,-19.94,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,molid152
Trichloro(p-chlorophenyl)silane,825-94-5,Training,123.90000000000003,118.89000000000004,0.0,5.0,0.28,171.95,0.0,-23.74,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,molid153
